Time,ThroughputA_Mbps,ThroughputB_Mbps
1,0,0
2,7.66771,5.85728
3,8.00358,5.99654
4,8.01178,6.00474
5,7.9872,6.01293
6,7.99539,6.01293
7,8.01178,5.97197
8,8.01997,6.01293
9,7.9872,6.00474
10,8.01178,6.00474
11,7.9872,5.98835
12,8.00358,6.00474
13,7.9872,5.99654
14,8.00358,5.99654
15,7.9872,5.99654
16,8.00358,5.99654
17,8.00358,6.00474
18,8.01178,5.99654
19,7.97901,6.02931
20,8.01178,5.98016
21,7.99539,5.98016
22,7.9872,6.01293
23,8.03635,6.02112
24,7.9872,5.99654
25,8.01178,5.99654
26,7.99539,5.99654
27,7.99539,5.99654
28,7.99539,5.99654
29,7.99539,5.99654
30,7.99539,5.99654
31,8.00358,6.00474
32,7.99539,6.01293
33,7.99539,6.00474
34,8.01178,5.98835
35,8.01997,5.99654
36,8.00358,6.01293
37,7.97901,6.00474
38,7.9872,5.98835
39,8.02816,6.00474
40,7.99539,5.99654
41,7.99539,5.99654
42,7.99539,5.99654
43,7.99539,5.99654
44,7.99539,5.99654
45,8.00358,5.99654
46,7.99539,5.99654
47,8.00358,6.02112
48,8.00358,5.99654
49,7.9872,5.98016
50,8.03635,6.00474
51,7.9872,6.01293
52,8.00358,6.00474
53,7.96262,5.98835
54,8.03635,6.01293
55,7.97082,5.97197
56,8.01997,6.02112
57,7.99539,5.99654
58,7.99539,5.99654
59,7.99539,5.99654
60,8.00358,5.99654
61,2.02342,2.23642
62,3.39149,2.81805
63,3.62086,3.54714
64,4.51379,2.70336
65,2.90816,2.27738
66,2.9655,1.9415
67,2.9655,1.86778
68,2.84262,2.50675
69,3.92397,2.19546
70,3.13754,2.6624
71,4.05504,2.33472
72,2.23642,2.5641
73,3.90758,1.5319
74,3.16211,2.62144
75,3.67002,2.5559
76,4.69402,3.88301
77,3.28499,2.23642
78,3.81747,3.05562
79,2.79347,3.30957
80,3.71917,2.93274
81,2.53133,3.12115
82,1.64659,3.12115
83,3.3833,2.80166
84,3.10477,2.16269
85,2.44941,1.91693
86,3.94854,2.59686
87,3.70278,2.13811
88,4.25165,3.21946
89,3.73555,2.81805
90,3.46522,1.9415
91,3.9895,2.71974
92,3.3833,2.63782
93,3.67002,1.58925
94,3.2768,2.88358
95,4.00589,1.62202
96,3.70278,1.9497
97,2.54771,2.05619
98,3.08838,2.44122
99,2.10534,2.21184
100,2.53952,1.93331
101,2.08896,2.18726
102,4.21888,2.08896
103,4.08781,1.72032
104,2.78528,2.34291
105,2.65421,1.00762
106,2.85082,1.9497
107,2.63782,1.04038
108,2.90816,2.20365
109,2.00704,1.45818
110,2.03162,1.9497
111,3.26861,2.05619
112,3.28499,0.77824
113,1.85139,1.21242
114,3.18669,0.98304
115,2.13811,1.00762
116,2.20365,1.7367
117,2.98189,1.3353
118,2.42483,1.26157
119,2.81805,0.770048
120,3.1703,1.22061
121,1.34349,1.17146
122,0.196608,0.933888
123,1.86778,1.99885
124,2.9737,1.99885
125,2.99827,1.99885
126,2.99827,1.99885
127,2.99827,1.99885
128,2.99827,1.99885
129,2.99827,1.99885
130,2.99827,1.99885
131,3.00646,2.00704
132,3.00646,1.99885
133,3.00646,2.00704
134,2.99827,1.99885
135,2.99827,1.99885
136,2.99827,1.99885
137,2.99827,1.99885
138,2.99827,1.99885
139,2.99827,1.99885
140,2.99827,1.99885
141,2.99827,1.99885
142,2.99827,1.99885
143,2.99827,1.99885
144,2.99827,1.99885
145,3.00646,1.99885
146,2.99827,2.00704
147,3.00646,2.00704
148,3.00646,1.99885
149,2.99008,1.99885
150,3.00646,1.99885
151,2.99827,1.99885
152,2.99827,1.99885
153,2.99827,1.99885
154,2.99827,1.99885
155,2.99827,1.99885
156,2.99827,1.99885
157,2.99827,1.99885
158,2.99827,1.99885
159,3.00646,1.99885
160,3.00646,2.00704
161,2.99827,2.00704
162,3.00646,1.99885
163,2.99827,1.99885
164,2.99827,1.99885
165,2.99827,1.99885
166,2.99827,1.99885
167,2.99827,1.99885
168,2.99827,1.99885
169,2.99827,1.99885
170,2.99827,1.99885
171,2.99827,1.99885
172,2.99827,1.99885
173,2.99827,2.00704
174,3.00646,1.99885
175,3.00646,2.00704
176,3.00646,1.99885
177,2.99827,1.99885
178,2.99827,1.99885
179,2.99827,1.99885
